text,created_at,retweet_count,is_retweet
For the purpose of creating conflict and confusion some in the Fake News Media are saying that it is the Governors decision to open up the states not that of the President of the United States &amp; the Federal Government. Let it be fully understood that this is incorrect....,04-13-2020 14:53:50,36459,FALSE
....disaster the Energy Industry will be strong again far faster than currently anticipated. Thank you to all of those who worked with me on getting this very big business back on track in particular Russia and Saudi Arabia.,04-13-2020 13:31:20,17196,FALSE
Having been involved in the negotiations to put it mildly the number that OPEC+ is looking to cut is 20 Million Barrels a day not the 10 Million that is generally being reported. If anything near this happens and the World gets back to business from the Covid 19.....,04-13-2020 13:31:19,23603,FALSE
The @nytimes story is a Fake just like the “paper” itself. I was criticized for moving too fast when I issued the China Ban long before most others wanted to do so. @SecAzar told me nothing until later and Peter Navarro memo was same as Ban (see his statements). Fake News!,04-13-2020 02:08:16,29829,FALSE
I am working hard to expose the corruption and dishonesty in the Lamestream Media. That part is easy the hard part is WHY?,04-13-2020 01:16:50,74434,FALSE
The @nytimes story is a Fake just like the “paper” itself. I was criticized for moving too fast when I issued the China Ban long before most others wanted to do so. @SecAzar told me nothing until later and @PeterNavarroUSA memo was same as Ban (see his statements). Fake News!,04-13-2020 01:09:56,9083,FALSE
RT @CLewandowski_: US House hopeful Mowers raised $354K in first quarter; campaign says it’s a primary record for a GOP candidate in NH. We…,04-13-2020 00:55:15,11823,TRUE
RT @CLewandowski_: Fox News Poll: Trump job approval hits new high as voters rally during crisis. Eighty-nine percent of Republicans approv…,04-13-2020 00:54:03,13686,TRUE
"RT @DavidJUrban: @HillaryClinton said she would ""​put a lot of coal miners out of jobs"" now @JoeBiden says the same thing to the hardworkin…",04-13-2020 00:53:40,12742,TRUE
RT @David_Bossie: New digital ad up in battleground states today highlighting @realDonaldTrump strong leadership combating the coronavirus…,04-13-2020 00:52:50,11750,TRUE
Thank you Paris! https://t.co/hDUppWgIXA,04-13-2020 00:51:35,11999,FALSE
